,order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
0,CA-2016-152156,11/08/2016,CG-12520,Consumer,Furniture,Bookcases,261.96,2,419136.0
1,CA-2016-152156,11/08/2016,CG-12520,Consumer,Furniture,Chairs,731.94,3,219582.0
2,CA-2016-138688,06/12/2016,DV-13045,Corporate,Office Supplies,Labels,14.62,2,2488915.0
3,US-2015-108966,10/11/2015,SO-20335,Consumer,Furniture,Tables,9575775.0,5,-383031.0
4,US-2015-108966,10/11/2015,SO-20335,Consumer,Office Supplies,Storage,22368.0,2,1192184.0
5,CA-2014-115812,06/09/2014,BH-11710,Consumer,Furniture,Furnishings,48.86,7,141694.0
6,CA-2014-115812,06/09/2014,BH-11710,Consumer,Office Supplies,Art,7.28,4,2832823.0
7,CA-2014-115812,06/09/2014,BH-11710,Consumer,Technology,Phones,907152.0,6,907152.0
8,CA-2014-115812,06/09/2014,BH-11710,Consumer,Office Supplies,Binders,18504.0,3,2164184.0
9,CA-2014-115812,06/09/2014,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,34.47
10,CA-2014-115812,06/09/2014,BH-11710,Consumer,Furniture,Tables,1706184.0,9,853092.0
11,CA-2014-115812,06/09/2014,BH-11710,Consumer,Technology,Phones,911424.0,4,683568.0
12,CA-2017-114412,4/15/2017,AA-10480,Consumer,Office Supplies,Paper,15552.0,3,924917.0
13,CA-2016-161389,12/05/2016,IM-15070,Consumer,Office Supplies,Binders,407976.0,3,1325922.0
14,US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,-123858.0
15,US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Binders,2544.0,3,-3816.0
16,CA-2014-105893,11/11/2014,PK-19075,Consumer,Office Supplies,Storage,665.88,6,133176.0
17,CA-2014-167164,5/13/2014,AG-10270,Consumer,Office Supplies,Storage,55.5,2,9.99
18,CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Art,8.56,2,1068002.0
19,CA-2014-143336,8/27/2014,ZD-21925,Consumer,Technology,Phones,213.48,3,16011.0
20,CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Binders,22.72,4,7384.0
21,CA-2016-137330,12/09/2016,KB-16585,Corporate,Office Supplies,Art,19.46,7,-476153.0
22,CA-2016-137330,12/09/2016,KB-16585,Corporate,Office Supplies,Appliances,60.34,7,156884.0
23,US-2017-156909,7/16/2017,SF-20065,Consumer,Furniture,Chairs,71372.0,2,-10196.0
24,CA-2015-106320,9/25/2015,EB-13870,Consumer,Furniture,Tables,1044.63,3,2402649.0
25,CA-2016-121755,1/16/2016,EH-13945,Consumer,Office Supplies,Binders,11648.0,2,118431.0
26,CA-2016-121755,1/16/2016,EH-13945,Consumer,Technology,Accessories,90.57,3,2133688.0
27,US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Bookcases,3083.43,7,-16650522.0
28,US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,9618.0,2,-70532.0
29,US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Furnishings,124.2,3,15525.0
30,US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Envelopes,3264.0,2,-322873.0
31,US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,86304.0,6,1896585.0
32,US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,6858.0,6,-5715.0
33,US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,15.76,2,3546.0
34,CA-2017-107727,10/19/2017,MA-17560,Home Office,Office Supplies,Paper,29472.0,3,2764401.0
35,CA-2016-117590,12/08/2016,GH-14485,Corporate,Technology,Phones,1097544.0,7,1234737.0
36,CA-2016-117590,12/08/2016,GH-14485,Corporate,Furniture,Furnishings,190.92,5,-147963.0
37,CA-2015-117415,12/27/2015,SN-20710,Home Office,Office Supplies,Envelopes,113328.0,9,35415.0
38,CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Bookcases,5323992.0,3,-469764.0
39,CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Chairs,212058.0,3,-15147.0
40,CA-2015-117415,12/27/2015,SN-20710,Home Office,Technology,Phones,371168.0,4,417564.0
41,CA-2017-120999,09/10/2017,LC-16930,Corporate,Technology,Phones,147168.0,4,165564.0
42,CA-2016-101343,7/17/2016,RA-19885,Corporate,Office Supplies,Storage,77.88,2,3894.0
43,CA-2017-139619,9/19/2017,ES-14080,Corporate,Office Supplies,Storage,95616.0,2,1357487.0
44,CA-2016-118255,03/11/2016,ON-18715,Corporate,Technology,Accessories,45.98,2,197714.0
45,CA-2016-118255,03/11/2016,ON-18715,Corporate,Office Supplies,Binders,17.46,2,59384.0
46,CA-2014-146703,10/20/2014,PO-18865,Consumer,Office Supplies,Storage,211.96,4,1053574.0
47,CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Accessories,45.0,3,4.95
48,CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Phones,44429.0,2,6104.0
49,CA-2015-115742,4/18/2015,DP-13000,Consumer,Office Supplies,Binders,38.22,6,179634.0
50,CA-2015-115742,4/18/2015,DP-13000,Consumer,Office Supplies,Labels,75.18,6,353346.0
51,CA-2015-115742,4/18/2015,DP-13000,Consumer,Furniture,Furnishings,6.16,2,2800712.0
52,CA-2015-115742,4/18/2015,DP-13000,Consumer,Furniture,Chairs,89.99,1,170981.0
53,CA-2016-105816,12/11/2016,JM-15265,Corporate,Office Supplies,Fasteners,15.26,7,243405.0
54,CA-2016-105816,12/11/2016,JM-15265,Corporate,Technology,Phones,1029.95,5,2986855.0
55,CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Storage,208.56,6,52.14
56,CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Paper,32.4,5,15552.0
57,CA-2016-111682,6/17/2016,TB-21055,Consumer,Furniture,Chairs,319.41,5,7098.0
58,CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Paper,14.56,2,2917711.0
59,CA-2016-111682,6/17/2016,TB-21055,Consumer,Technology,Accessories,30.0,2,44258.0
60,CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Binders,48.48,4,16362.0
61,CA-2016-111682,6/17/2016,TB-21055,Consumer,Office Supplies,Art,1.68,1,0.84
62,CA-2015-135545,11/24/2015,KM-16720,Consumer,Technology,Accessories,13.98,2,-141561.0
63,CA-2015-135545,11/24/2015,KM-16720,Consumer,Office Supplies,Binders,25824.0,6,625541.0
64,CA-2015-135545,11/24/2015,KM-16720,Consumer,Office Supplies,Paper,146.73,3,689631.0
65,CA-2015-135545,11/24/2015,KM-16720,Consumer,Furniture,Furnishings,79.76,4,223328.0
66,US-2015-164175,4/30/2015,PS-18970,Home Office,Furniture,Chairs,213115.0,5,-152225.0
67,CA-2014-106376,12/05/2014,BS-11590,Corporate,Office Supplies,Art,1113024.0,8,1113024.0
68,CA-2014-106376,12/05/2014,BS-11590,Corporate,Technology,Phones,167968.0,4,62988.0
69,CA-2016-119823,06/04/2016,KD-16270,Consumer,Office Supplies,Paper,75.88,2,356636.0
70,CA-2016-106075,9/18/2016,HM-14980,Consumer,Office Supplies,Binders,4616.0,1,1731.0
71,CA-2017-114440,9/14/2017,TB-21520,Consumer,Office Supplies,Paper,44335.0,3,8763.0
72,US-2015-134026,4/26/2015,JE-15745,Consumer,Furniture,Chairs,831936.0,8,-1143912.0
73,US-2015-134026,4/26/2015,JE-15745,Consumer,Furniture,Furnishings,97.04,2,1213.0
74,US-2015-134026,4/26/2015,JE-15745,Consumer,Office Supplies,Storage,72784.0,1,-18196.0
75,US-2017-118038,12/09/2017,KB-16600,Corporate,Office Supplies,Binders,1248.0,3,-19344.0
76,US-2017-118038,12/09/2017,KB-16600,Corporate,Furniture,Furnishings,9708.0,3,-58248.0
77,US-2017-118038,12/09/2017,KB-16600,Corporate,Office Supplies,Storage,27.24,3,2724.0
78,US-2014-147606,11/26/2014,JE-15745,Consumer,Furniture,Furnishings,44274.0,5,-14475.0
79,CA-2016-127208,06/12/2016,SC-20770,Corporate,Office Supplies,Appliances,208.16,1,562032.0
80,CA-2016-127208,06/12/2016,SC-20770,Corporate,Office Supplies,Binders,16.74,3,-565181.0
81,CA-2014-139451,10/12/2014,DN-13690,Consumer,Office Supplies,Art,44453.0,5,4172.0
82,CA-2014-139451,10/12/2014,DN-13690,Consumer,Office Supplies,Storage,21.39,1,48000.0
83,CA-2015-149734,09/03/2015,JC-16105,Corporate,Office Supplies,Envelopes,200984.0,7,628075.0
84,US-2017-119662,11/13/2017,CS-12400,Home Office,Office Supplies,Storage,230376.0,3,-489549.0
85,CA-2017-140088,5/28/2017,PO-18865,Consumer,Furniture,Chairs,301.96,2,332156.0
86,CA-2017-155558,10/26/2017,PG-18895,Consumer,Technology,Accessories,19.99,1,2215714.0
87,CA-2017-155558,10/26/2017,PG-18895,Consumer,Office Supplies,Labels,6.16,2,2800712.0
88,CA-2016-159695,04/05/2016,GM-14455,Home Office,Office Supplies,Storage,158368.0,7,138572.0
89,CA-2016-109806,9/17/2016,JS-15685,Corporate,Office Supplies,Art,44216.0,3,6633.0
90,CA-2016-109806,9/17/2016,JS-15685,Corporate,Technology,Phones,73584.0,2,322358.0
91,CA-2016-109806,9/17/2016,JS-15685,Corporate,Office Supplies,Paper,6.48,1,-290672.0
92,CA-2015-149587,1/31/2015,KB-16315,Consumer,Office Supplies,Paper,12.96,2,112648.0
93,CA-2015-149587,1/31/2015,KB-16315,Consumer,Furniture,Furnishings,53.34,3,165354.0
94,CA-2015-149587,1/31/2015,KB-16315,Consumer,Office Supplies,Binders,32.96,2,161504.0
95,US-2017-109484,11/06/2017,RB-19705,Home Office,Office Supplies,Binders,5682.0,1,-3788.0
96,CA-2017-161018,11/09/2017,PN-18775,Home Office,Furniture,Furnishings,96.53,7,405426.0
97,CA-2017-157833,6/17/2017,KD-16345,Consumer,Office Supplies,Binders,51312.0,3,179592.0
98,CA-2016-149223,09/06/2016,ER-13855,Corporate,Office Supplies,Appliances,77.88,6,225852.0
99,CA-2016-158568,8/29/2016,RB-19465,Home Office,Office Supplies,Paper,64624.0,7,226184.0
100,CA-2016-158568,8/29/2016,RB-19465,Home Office,Technology,Accessories,95976.0,3,-107973.0
101,CA-2016-158568,8/29/2016,RB-19465,Home Office,Office Supplies,Binders,1788.0,3,-30396.0
102,CA-2016-129903,12/01/2016,GZ-14470,Consumer,Office Supplies,Paper,23.92,4,1939014.0
103,US-2015-156867,11/13/2015,LC-16870,Consumer,Technology,Accessories,238896.0,6,-268758.0
104,US-2015-156867,11/13/2015,LC-16870,Consumer,Furniture,Furnishings,102.36,3,-38385.0
105,US-2015-156867,11/13/2015,LC-16870,Consumer,Office Supplies,Binders,36882.0,3,-258174.0
106,CA-2017-119004,11/23/2017,JM-15250,Consumer,Technology,Accessories,74112.0,8,176016.0
107,CA-2017-119004,11/23/2017,JM-15250,Consumer,Technology,Phones,27992.0,1,-330876.0
108,CA-2017-119004,11/23/2017,JM-15250,Consumer,Office Supplies,Art,3304.0,1,-424410.0
109,CA-2015-129476,10/15/2015,PA-19060,Home Office,Technology,Accessories,339.96,5,67992.0
110,CA-2017-146780,12/25/2017,CV-12805,Corporate,Furniture,Furnishings,41.96,2,2628561.0
111,CA-2016-128867,11/03/2016,CL-12565,Consumer,Office Supplies,Art,75.96,2,22788.0
112,CA-2016-128867,11/03/2016,CL-12565,Consumer,Office Supplies,Binders,27.24,6,133476.0
113,CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Fasteners,40096.0,14,145348.0
114,CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Envelopes,4.72,2,1652.0
115,CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Paper,23976.0,3,1105042.0
116,CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Envelopes,130464.0,6,440316.0
117,CA-2015-110457,03/02/2015,DK-13090,Consumer,Furniture,Tables,787.53,3,1653813.0
118,US-2015-136476,04/05/2015,GG-14650,Corporate,Office Supplies,Binders,157794.0,1,-1157156.0
119,CA-2016-103730,06/12/2016,SC-20725,Consumer,Furniture,Furnishings,47.04,3,183456.0
120,CA-2016-103730,06/12/2016,SC-20725,Consumer,Office Supplies,Binders,30.84,4,13878.0
121,CA-2016-103730,06/12/2016,SC-20725,Consumer,Office Supplies,Storage,226.56,6,634368.0
122,CA-2016-103730,06/12/2016,SC-20725,Consumer,Office Supplies,Envelopes,115.02,9,51759.0
123,CA-2016-103730,06/12/2016,SC-20725,Consumer,Technology,Phones,68.04,7,197316.0
124,US-2014-152030,12/26/2014,AD-10180,Home Office,Furniture,Chairs,600558.0,3,-85794.0
125,US-2014-134614,9/20/2014,PF-19165,Consumer,Furniture,Tables,617.7,6,-407682.0
126,US-2017-107272,11/05/2017,TS-21610,Consumer,Office Supplies,Binders,2388.0,2,-18308.0
127,US-2017-107272,11/05/2017,TS-21610,Consumer,Office Supplies,Storage,243992.0,7,30499.0
128,US-2016-125969,11/06/2016,LS-16975,Home Office,Furniture,Chairs,81424.0,2,-91602.0
129,US-2016-125969,11/06/2016,LS-16975,Home Office,Furniture,Furnishings,238.56,3,262416.0
130,US-2017-164147,02/02/2017,DW-13585,Corporate,Technology,Phones,59.97,5,-11994.0
131,US-2017-164147,02/02/2017,DW-13585,Corporate,Office Supplies,Paper,78304.0,2,29364.0
132,US-2017-164147,02/02/2017,DW-13585,Corporate,Office Supplies,Fasteners,21456.0,9,2860733.0
133,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Paper,44306.0,3,1567867.0
134,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Paper,35.44,1,166568.0
135,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Art,11.52,4,3456.0
136,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Fasteners,44231.0,2,2848164.0
137,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Binders,76176.0,3,266616.0
138,CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Supplies,65.88,6,184464.0
139,CA-2016-145583,10/13/2016,LC-16885,Consumer,Furniture,Furnishings,43.12,14,206976.0
140,CA-2016-110366,09/05/2016,JD-15895,Corporate,Furniture,Furnishings,82.8,2,10.35
141,CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Art,8.82,3,699107.0
142,CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Envelopes,10.86,3,-313256.0
143,CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Paper,143.7,3,68976.0
144,CA-2017-155376,12/22/2017,SG-20080,Consumer,Office Supplies,Appliances,839.43,3,2182518.0
145,CA-2015-110744,09/07/2015,HA-14920,Consumer,Office Supplies,Storage,671.93,7,201579.0
146,CA-2014-110072,10/22/2014,MG-17680,Home Office,Furniture,Furnishings,93888.0,4,2628622.0
147,CA-2016-114489,12/05/2016,JE-16165,Corporate,Technology,Phones,384.45,11,1038015.0
148,CA-2016-114489,12/05/2016,JE-16165,Corporate,Technology,Phones,149.97,3,2954204.0
149,CA-2016-114489,12/05/2016,JE-16165,Corporate,Furniture,Chairs,1951.84,8,585552.0
150,CA-2016-114489,12/05/2016,JE-16165,Corporate,Office Supplies,Binders,171.55,5,806285.0
151,CA-2016-158834,3/13/2016,TW-21025,Home Office,Office Supplies,Appliances,157.92,5,17766.0
152,CA-2016-158834,3/13/2016,TW-21025,Home Office,Technology,Phones,203184.0,2,152388.0
153,CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Paper,58.38,7,26271.0
154,CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Paper,105.52,4,485392.0
155,CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Storage,80.88,6,210288.0
156,CA-2015-118948,5/28/2015,NK-18490,Home Office,Office Supplies,Art,6.63,3,2191822.0
157,CA-2014-104269,03/01/2014,DB-13060,Consumer,Furniture,Chairs,457568.0,2,514764.0
158,CA-2016-114104,11/20/2016,NP-18670,Consumer,Office Supplies,Labels,14.62,2,2488915.0
159,CA-2016-114104,11/20/2016,NP-18670,Consumer,Technology,Phones,944.93,7,2362325.0
160,CA-2016-162733,05/11/2016,TT-21070,Consumer,Office Supplies,Paper,5.98,1,2691.0
161,CA-2015-119697,12/28/2015,EM-13960,Consumer,Technology,Accessories,54384.0,2,619453.0
162,CA-2016-154508,11/16/2016,RD-19900,Consumer,Office Supplies,Envelopes,44314.0,5,13348.0
163,CA-2016-113817,11/07/2016,MJ-17740,Consumer,Office Supplies,Binders,27.68,2,9688.0
164,CA-2014-139892,09/08/2014,BM-11140,Consumer,Office Supplies,Art,9936.0,3,1981108.0
165,CA-2014-139892,09/08/2014,BM-11140,Consumer,Technology,Machines,8159952.0,8,-1359992.0
166,CA-2014-139892,09/08/2014,BM-11140,Consumer,Office Supplies,Storage,275928.0,3,-586347.0
167,CA-2014-139892,09/08/2014,BM-11140,Consumer,Furniture,Chairs,-58285.0,9,-24858.0
168,CA-2014-139892,09/08/2014,BM-11140,Consumer,Office Supplies,Art,32064.0,6,2277806.0
169,CA-2014-139892,09/08/2014,BM-11140,Consumer,Office Supplies,Appliances,177.98,5,-453849.0
170,CA-2014-139892,09/08/2014,BM-11140,Consumer,Technology,Phones,143976.0,3,2953200.0
171,CA-2014-118962,08/05/2014,CS-12130,Consumer,Office Supplies,Paper,20.94,3,2380896.0
172,CA-2014-118962,08/05/2014,CS-12130,Consumer,Office Supplies,Paper,110.96,2,532608.0
173,CA-2014-118962,08/05/2014,CS-12130,Consumer,Furniture,Chairs,340144.0,7,21259.0
174,US-2014-100853,9/14/2014,JB-15400,Corporate,Office Supplies,Appliances,52448.0,2,-131.12
175,US-2014-100853,9/14/2014,JB-15400,Corporate,Office Supplies,Labels,20.16,4,6552.0
176,US-2017-152366,4/21/2017,SJ-20500,Consumer,Office Supplies,Appliances,97264.0,4,-243.16
177,US-2015-101511,11/21/2015,JE-15745,Consumer,Furniture,Chairs,396802.0,7,-113372.0
178,US-2015-101511,11/21/2015,JE-15745,Consumer,Office Supplies,Supplies,15.88,5,-37715.0
179,CA-2015-137225,12/15/2015,JK-15640,Home Office,Office Supplies,Art,3.28,1,804996.0
180,CA-2014-166191,12/05/2014,DK-13150,Corporate,Office Supplies,Storage,24816.0,2,2451509.0
181,CA-2014-166191,12/05/2014,DK-13150,Corporate,Technology,Accessories,408744.0,7,766395.0
182,CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Phones,503.96,4,1310296.0
183,CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Phones,149.95,5,41986.0
184,CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Accessories,29.0,2,7.25
185,CA-2016-105018,11/28/2016,SK-19990,Consumer,Office Supplies,Binders,7.16,2,901480.0
186,CA-2014-123260,8/26/2014,FM-14290,Home Office,Technology,Accessories,176.8,8,22984.0
187,CA-2016-157000,7/16/2016,AM-10360,Corporate,Office Supplies,Storage,37224.0,3,1944613.0
188,CA-2016-157000,7/16/2016,AM-10360,Corporate,Office Supplies,Paper,20016.0,3,6255.0
189,CA-2015-102281,10/12/2015,MP-17470,Home Office,Furniture,Bookcases,899136.0,4,112392.0
190,CA-2015-102281,10/12/2015,MP-17470,Home Office,Technology,Phones,71.76,6,200928.0
191,CA-2015-102281,10/12/2015,MP-17470,Home Office,Office Supplies,Paper,51.84,8,248832.0
192,CA-2015-102281,10/12/2015,MP-17470,Home Office,Furniture,Bookcases,626352.0,3,469764.0
193,CA-2015-102281,10/12/2015,MP-17470,Home Office,Office Supplies,Art,44458.0,5,6567.0
194,CA-2015-131457,10/31/2015,MZ-17515,Corporate,Office Supplies,Envelopes,14.28,7,1905258.0
195,CA-2014-140004,3/21/2014,CB-12025,Consumer,Office Supplies,Art,7408.0,2,50406.0
196,CA-2014-140004,3/21/2014,CB-12025,Consumer,Office Supplies,Art,6048.0,3,1452206.0
197,CA-2017-107720,11/06/2017,VM-21685,Home Office,Office Supplies,Storage,46.26,3,-592817.0
198,US-2017-124303,07/06/2017,FH-14365,Corporate,Office Supplies,Binders,2946.0,2,-22586.0
199,US-2017-124303,07/06/2017,FH-14365,Corporate,Office Supplies,Paper,16056.0,3,2302245.0
200,CA-2017-105074,6/24/2017,MB-17305,Consumer,Office Supplies,Paper,21744.0,3,6795.0
201,CA-2014-133690,08/03/2014,BS-11755,Consumer,Furniture,Tables,218.75,2,-161875.0
202,CA-2014-133690,08/03/2014,BS-11755,Consumer,Office Supplies,Appliances,44349.0,1,2925.0
203,US-2017-116701,12/17/2017,LC-17140,Consumer,Office Supplies,Appliances,66284.0,2,-1789668.0
